q2,     ge,    delta-ge, gm,     delta-gm 
0.0038, 0.9892, 0.0019, 2.7641, 0.0055 
0.0040, 0.9878, 0.0017, 2.7601, 0.0049 
0.0042, 0.9875, 0.0023, 2.7594, 0.0067 
0.0044, 0.9879, 0.0019, 2.7606, 0.0056 
0.0046, 0.9858, 0.0017, 2.7549, 0.0050 
0.0048, 0.9840, 0.0018, 2.7499, 0.0053 
0.0050, 0.9867, 0.0017, 2.7574, 0.0048 
0.0053, 0.9863, 0.0016, 2.7565, 0.0048 
0.0055, 0.9842, 0.0018, 2.7505, 0.0053 
0.0057, 0.9839, 0.0016, 2.7499, 0.0048 
0.0059, 0.9846, 0.0016, 2.7517, 0.0048 
0.0062, 0.9813, 0.0016, 2.7426, 0.0048 
0.0064, 0.9805, 0.0016, 2.7407, 0.0047 
0.0066, 0.9815, 0.0015, 2.7436, 0.0045 
0.0069, 0.9783, 0.0017, 2.7346, 0.0050 
0.0071, 0.9789, 0.0017, 2.7364, 0.0051 
0.0074, 0.9790, 0.0016, 2.7367, 0.0048 
0.0077, 0.9768, 0.0016, 2.7306, 0.0047 
0.0079, 0.9765, 0.0016, 2.7299, 0.0047 
0.0082, 0.9762, 0.0017, 2.7292, 0.0050 
0.0084, 0.9743, 0.0016, 2.7240, 0.0047 
0.0087, 0.9741, 0.0016, 2.7233, 0.0047 
0.0090, 0.9738, 0.0016, 2.7228, 0.0047 
0.0093, 0.9710, 0.0017, 2.7150, 0.0050 
0.0095, 0.9714, 0.0015, 2.7161, 0.0046 
0.0098, 0.9728, 0.0016, 2.7201, 0.0050 
0.0101, 0.9701, 0.0015, 2.7128, 0.0047 
0.0101, 0.9742, 0.0016, 2.7243, 0.0048 
0.0104, 0.9699, 0.0016, 2.7122, 0.0049 
0.0107, 0.9695, 0.0016, 2.7113, 0.0048 
0.0110, 0.9678, 0.0015, 2.7067, 0.0046 
0.0111, 0.9667, 0.0017, 2.7037, 0.0053 
0.0113, 0.9679, 0.0015, 2.7071, 0.0045 
0.0113, 0.9681, 0.0015, 2.7076, 0.0047 
0.0116, 0.9665, 0.0016, 2.7032, 0.0048 
0.0116, 0.9662, 0.0015, 2.7024, 0.0045 
0.0119, 0.9656, 0.0015, 2.7009, 0.0047 
0.0122, 0.9659, 0.0015, 2.7018, 0.0046 
0.0122, 0.9630, 0.0015, 2.6936, 0.0047 
0.0125, 0.9644, 0.0015, 2.6975, 0.0048 
0.0128, 0.9635, 0.0015, 2.6952, 0.0046 
0.0128, 0.9651, 0.0015, 2.6997, 0.0047 
0.0129, 0.9641, 0.0018, 2.6969, 0.0055 
0.0129, 0.9657, 0.0016, 2.7014, 0.0050 
0.0132, 0.9637, 0.0017, 2.6960, 0.0051 
0.0134, 0.9629, 0.0014, 2.6937, 0.0045 
0.0135, 0.9620, 0.0016, 2.6911, 0.0050 
0.0138, 0.9610, 0.0016, 2.6886, 0.0049 
0.0140, 0.9596, 0.0015, 2.6847, 0.0046 
0.0142, 0.9615, 0.0016, 2.6901, 0.0049 
0.0145, 0.9600, 0.0015, 2.6859, 0.0048 
0.0146, 0.9588, 0.0014, 2.6826, 0.0045 
0.0148, 0.9600, 0.0016, 2.6861, 0.0049 
0.0152, 0.9539, 0.0017, 2.6691, 0.0052 
0.0153, 0.9584, 0.0015, 2.6819, 0.0046 
0.0155, 0.9569, 0.0015, 2.6776, 0.0048 
0.0159, 0.9555, 0.0014, 2.6740, 0.0045 
0.0162, 0.9506, 0.0016, 2.6603, 0.0051 
0.0162, 0.9542, 0.0015, 2.6705, 0.0048 
0.0162, 0.9550, 0.0015, 2.6726, 0.0048 
0.0165, 0.9511, 0.0015, 2.6618, 0.0047 
0.0166, 0.9537, 0.0014, 2.6689, 0.0045 
0.0169, 0.9518, 0.0015, 2.6640, 0.0047 
0.0172, 0.9496, 0.0016, 2.6578, 0.0050 
0.0172, 0.9516, 0.0015, 2.6633, 0.0048 
0.0173, 0.9496, 0.0014, 2.6579, 0.0044 
0.0176, 0.9498, 0.0015, 2.6584, 0.0048 
0.0180, 0.9487, 0.0015, 2.6556, 0.0048 
0.0180, 0.9485, 0.0014, 2.6550, 0.0045 
0.0180, 0.9488, 0.0016, 2.6558, 0.0051 
0.0182, 0.9493, 0.0017, 2.6574, 0.0055 
0.0183, 0.9471, 0.0015, 2.6512, 0.0047 
0.0186, 0.9474, 0.0014, 2.6521, 0.0045 
0.0187, 0.9452, 0.0016, 2.6459, 0.0051 
0.0190, 0.9441, 0.0022, 2.6431, 0.0067 
0.0190, 0.9477, 0.0015, 2.6530, 0.0049 
0.0192, 0.9427, 0.0018, 2.6390, 0.0056 
0.0193, 0.9467, 0.0014, 2.6503, 0.0046 
0.0194, 0.9455, 0.0015, 2.6471, 0.0048 
0.0198, 0.9429, 0.0015, 2.6398, 0.0047 
0.0198, 0.9434, 0.0015, 2.6412, 0.0049 
0.0201, 0.9439, 0.0014, 2.6427, 0.0046 
0.0201, 0.9405, 0.0015, 2.6334, 0.0049 
0.0202, 0.9407, 0.0015, 2.6338, 0.0049 
0.0205, 0.9399, 0.0014, 2.6317, 0.0047 
0.0208, 0.9426, 0.0015, 2.6395, 0.0049 
0.0209, 0.9385, 0.0014, 2.6280, 0.0047 
0.0213, 0.9368, 0.0015, 2.6233, 0.0048 
0.0213, 0.9382, 0.0016, 2.6272, 0.0053 
0.0215, 0.9403, 0.0015, 2.6332, 0.0049 
0.0217, 0.9379, 0.0015, 2.6266, 0.0048 
0.0223, 0.9393, 0.0014, 2.6305, 0.0047 
0.0224, 0.9355, 0.0016, 2.6200, 0.0051 
0.0230, 0.9358, 0.0014, 2.6210, 0.0046 
0.0236, 0.9331, 0.0017, 2.6137, 0.0057 
0.0236, 0.9327, 0.0015, 2.6127, 0.0049 
0.0238, 0.9362, 0.0014, 2.6225, 0.0047 
0.0246, 0.9333, 0.0014, 2.6146, 0.0047 
0.0247, 0.9295, 0.0017, 2.6041, 0.0055 
0.0254, 0.9267, 0.0013, 2.5964, 0.0045 
0.0255, 0.9317, 0.0032, 2.6104, 0.0097 
0.0256, 0.9257, 0.0014, 2.5935, 0.0048 
0.0259, 0.9278, 0.0016, 2.5997, 0.0054 
0.0262, 0.9261, 0.0013, 2.5948, 0.0045 
0.0270, 0.9233, 0.0013, 2.5874, 0.0046 
0.0271, 0.9220, 0.0014, 2.5838, 0.0049 
0.0272, 0.9204, 0.0025, 2.5792, 0.0080 
0.0276, 0.9207, 0.0014, 2.5804, 0.0048 
0.0278, 0.9216, 0.0013, 2.5830, 0.0047 
0.0283, 0.9196, 0.0016, 2.5774, 0.0055 
0.0286, 0.9202, 0.0013, 2.5793, 0.0046 
0.0288, 0.9226, 0.0026, 2.5858, 0.0082 
0.0295, 0.9174, 0.0014, 2.5716, 0.0047 
0.0295, 0.9130, 0.0014, 2.5594, 0.0049 
0.0296, 0.9182, 0.0014, 2.5739, 0.0048 
0.0296, 0.9147, 0.0016, 2.5640, 0.0052 
0.0303, 0.9161, 0.0014, 2.5682, 0.0047 
0.0304, 0.9146, 0.0025, 2.5640, 0.0080 
0.0308, 0.9125, 0.0015, 2.5584, 0.0051 
0.0312, 0.9126, 0.0013, 2.5587, 0.0046 
0.0317, 0.9109, 0.0015, 2.5541, 0.0052 
0.0320, 0.9114, 0.0013, 2.5556, 0.0046 
0.0322, 0.9117, 0.0014, 2.5566, 0.0049 
0.0322, 0.9111, 0.0023, 2.5547, 0.0073 
0.0329, 0.9062, 0.0013, 2.5412, 0.0047 
0.0334, 0.9071, 0.0013, 2.5441, 0.0048 
0.0338, 0.9046, 0.0014, 2.5372, 0.0049 
0.0338, 0.9051, 0.0013, 2.5386, 0.0046 
0.0340, 0.9072, 0.0016, 2.5444, 0.0054 
0.0347, 0.9034, 0.0013, 2.5340, 0.0046 
0.0348, 0.9046, 0.0013, 2.5374, 0.0047 
0.0355, 0.9020, 0.0013, 2.5303, 0.0046 
0.0357, 0.9010, 0.0020, 2.5277, 0.0066 
0.0359, 0.9025, 0.0014, 2.5320, 0.0050 
0.0362, 0.9009, 0.0014, 2.5275, 0.0050 
0.0365, 0.8970, 0.0014, 2.5167, 0.0050 
0.0374, 0.8962, 0.0013, 2.5147, 0.0048 
0.0375, 0.8984, 0.0014, 2.5208, 0.0050 
0.0376, 0.8976, 0.0026, 2.5188, 0.0084 
0.0380, 0.8952, 0.0014, 2.5121, 0.0050 
0.0389, 0.8936, 0.0013, 2.5080, 0.0049 
0.0393, 0.8927, 0.0013, 2.5056, 0.0047 
0.0394, 0.8923, 0.0014, 2.5044, 0.0051 
0.0401, 0.8897, 0.0015, 2.4972, 0.0052 
0.0402, 0.8918, 0.0013, 2.5031, 0.0047 
0.0403, 0.8917, 0.0014, 2.5030, 0.0051 
0.0411, 0.8869, 0.0012, 2.4899, 0.0046 
0.0413, 0.8871, 0.0018, 2.4903, 0.0062 
0.0418, 0.8874, 0.0013, 2.4913, 0.0050 
0.0421, 0.8863, 0.0012, 2.4882, 0.0046 
0.0421, 0.8861, 0.0015, 2.4878, 0.0052 
0.0422, 0.8860, 0.0015, 2.4875, 0.0051 
0.0430, 0.8828, 0.0012, 2.4788, 0.0046 
0.0430, 0.8840, 0.0012, 2.4822, 0.0047 
0.0432, 0.8836, 0.0014, 2.4812, 0.0051 
0.0433, 0.8828, 0.0013, 2.4790, 0.0048 
0.0433, 0.8797, 0.0019, 2.4701, 0.0065 
0.0440, 0.8789, 0.0012, 2.4681, 0.0047 
0.0442, 0.8783, 0.0015, 2.4665, 0.0052 
0.0443, 0.8805, 0.0015, 2.4728, 0.0051 
0.0447, 0.8798, 0.0013, 2.4708, 0.0049 
0.0450, 0.8776, 0.0012, 2.4648, 0.0046 
0.0453, 0.8763, 0.0019, 2.4612, 0.0065 
0.0459, 0.8756, 0.0012, 2.4594, 0.0046 
0.0462, 0.8764, 0.0013, 2.4617, 0.0049 
0.0463, 0.8753, 0.0015, 2.4587, 0.0053 
0.0463, 0.8754, 0.0015, 2.4590, 0.0052 
0.0469, 0.8745, 0.0012, 2.4567, 0.0047 
0.0473, 0.8748, 0.0019, 2.4576, 0.0066 
0.0477, 0.8729, 0.0013, 2.4524, 0.0049 
0.0479, 0.8702, 0.0012, 2.4451, 0.0046 
0.0479, 0.8703, 0.0012, 2.4452, 0.0046 
0.0484, 0.8692, 0.0015, 2.4421, 0.0052 
0.0484, 0.8711, 0.0016, 2.4475, 0.0055 
0.0489, 0.8692, 0.0012, 2.4425, 0.0046 
0.0493, 0.8703, 0.0013, 2.4455, 0.0049 
0.0494, 0.8632, 0.0018, 2.4258, 0.0065 
0.0505, 0.8645, 0.0015, 2.4296, 0.0051 
0.0508, 0.8647, 0.0013, 2.4303, 0.0049 
0.0515, 0.8622, 0.0018, 2.4235, 0.0065 
0.0524, 0.8620, 0.0013, 2.4234, 0.0049 
0.0525, 0.8590, 0.0016, 2.4147, 0.0053 
0.0525, 0.8620, 0.0017, 2.4234, 0.0056 
0.0530, 0.8596, 0.0012, 2.4166, 0.0047 
0.0537, 0.8591, 0.0018, 2.4154, 0.0065 
0.0540, 0.8574, 0.0012, 2.4109, 0.0049 
0.0545, 0.8543, 0.0015, 2.4023, 0.0052 
0.0545, 0.8559, 0.0015, 2.4069, 0.0053 
0.0556, 0.8532, 0.0012, 2.3996, 0.0049 
0.0557, 0.8535, 0.0013, 2.4004, 0.0052 
0.0565, 0.8500, 0.0016, 2.3906, 0.0053 
0.0565, 0.8519, 0.0017, 2.3961, 0.0056 
0.0572, 0.8514, 0.0012, 2.3948, 0.0048 
0.0572, 0.8503, 0.0012, 2.3918, 0.0049 
0.0580, 0.8475, 0.0016, 2.3843, 0.0060 
0.0582, 0.8470, 0.0012, 2.3827, 0.0047 
0.0584, 0.8480, 0.0017, 2.3857, 0.0056 
0.0586, 0.8459, 0.0014, 2.3799, 0.0054 
0.0589, 0.8463, 0.0012, 2.3811, 0.0050 
0.0590, 0.8451, 0.0012, 2.3778, 0.0050 
0.0602, 0.8430, 0.0013, 2.3720, 0.0052 
0.0603, 0.8415, 0.0016, 2.3680, 0.0054 
0.0603, 0.8436, 0.0017, 2.3739, 0.0054 
0.0605, 0.8416, 0.0012, 2.3684, 0.0049 
0.0622, 0.8392, 0.0012, 2.3621, 0.0050 
0.0622, 0.8389, 0.0018, 2.3612, 0.0057 
0.0622, 0.8391, 0.0017, 2.3618, 0.0057 
0.0625, 0.8393, 0.0012, 2.3625, 0.0049 
0.0634, 0.8352, 0.0012, 2.3511, 0.0047 
0.0639, 0.8336, 0.0012, 2.3469, 0.0049 
0.0640, 0.8323, 0.0017, 2.3432, 0.0056 
0.0640, 0.8346, 0.0018, 2.3497, 0.0058 
0.0648, 0.8339, 0.0012, 2.3480, 0.0049 
0.0655, 0.8307, 0.0012, 2.3391, 0.0049 
0.0658, 0.8315, 0.0019, 2.3416, 0.0059 
0.0658, 0.8305, 0.0018, 2.3386, 0.0058 
0.0670, 0.8276, 0.0013, 2.3308, 0.0052 
0.0672, 0.8268, 0.0012, 2.3286, 0.0051 
0.0673, 0.8276, 0.0012, 2.3310, 0.0051 
0.0676, 0.8255, 0.0019, 2.3250, 0.0058 
0.0688, 0.8223, 0.0012, 2.3163, 0.0047 
0.0690, 0.8244, 0.0012, 2.3225, 0.0049 
0.0693, 0.8225, 0.0020, 2.3172, 0.0060 
0.0695, 0.8225, 0.0012, 2.3172, 0.0051 
0.0707, 0.8177, 0.0011, 2.3040, 0.0049 
0.0707, 0.8203, 0.0012, 2.3115, 0.0049 
0.0710, 0.8181, 0.0020, 2.3052, 0.0060 
0.0711, 0.8176, 0.0013, 2.3038, 0.0054 
0.0718, 0.8168, 0.0012, 2.3017, 0.0050 
0.0725, 0.8123, 0.0012, 2.2893, 0.0050 
0.0726, 0.8152, 0.0023, 2.2976, 0.0067 
0.0740, 0.8107, 0.0033, 2.2852, 0.0094 
0.0740, 0.8136, 0.0023, 2.2935, 0.0065 
0.0742, 0.8102, 0.0013, 2.2838, 0.0053 
0.0742, 0.8105, 0.0012, 2.2849, 0.0047 
0.0743, 0.8086, 0.0012, 2.2793, 0.0049 
0.0743, 0.8109, 0.0012, 2.2860, 0.0051 
0.0756, 0.8086, 0.0035, 2.2798, 0.0100 
0.0758, 0.8103, 0.0013, 2.2848, 0.0052 
0.0761, 0.8072, 0.0012, 2.2761, 0.0049 
0.0768, 0.8045, 0.0012, 2.2684, 0.0051 
0.0771, 0.8068, 0.0025, 2.2751, 0.0069 
0.0773, 0.8019, 0.0011, 2.2614, 0.0049 
0.0778, 0.8028, 0.0011, 2.2640, 0.0049 
0.0785, 0.8057, 0.0028, 2.2723, 0.0075 
0.0793, 0.8007, 0.0012, 2.2586, 0.0051 
0.0796, 0.7989, 0.0011, 2.2537, 0.0049 
0.0797, 0.7986, 0.0012, 2.2528, 0.0048 
0.0798, 0.8016, 0.0028, 2.2612, 0.0075 
0.0805, 0.7974, 0.0012, 2.2496, 0.0051 
0.0811, 0.7992, 0.0030, 2.2547, 0.0079 
0.0815, 0.7951, 0.0011, 2.2435, 0.0049 
0.0818, 0.7962, 0.0012, 2.2465, 0.0051 
0.0822, 0.7945, 0.0033, 2.2418, 0.0086 
0.0831, 0.7930, 0.0012, 2.2379, 0.0051 
0.0832, 0.7919, 0.0011, 2.2347, 0.0048 
0.0834, 0.7925, 0.0034, 2.2366, 0.0089 
0.0837, 0.7898, 0.0011, 2.2291, 0.0049 
0.0842, 0.7904, 0.0012, 2.2310, 0.0051 
0.0849, 0.7930, 0.0011, 2.2384, 0.0049 
0.0851, 0.7882, 0.0011, 2.2249, 0.0048 
0.0851, 0.7882, 0.0011, 2.2251, 0.0048 
0.0852, 0.7874, 0.0012, 2.2227, 0.0048 
0.0867, 0.7780, 0.0017, 2.1965, 0.0067 
0.0868, 0.7837, 0.0012, 2.2127, 0.0051 
0.0870, 0.7854, 0.0011, 2.2175, 0.0049 
0.0870, 0.7851, 0.0013, 2.2168, 0.0054 
0.0888, 0.7808, 0.0011, 2.2051, 0.0048 
0.0894, 0.7793, 0.0012, 2.2011, 0.0051 
0.0903, 0.7779, 0.0011, 2.1974, 0.0049 
0.0906, 0.7770, 0.0011, 2.1948, 0.0048 
0.0908, 0.7762, 0.0012, 2.1926, 0.0049 
0.0908, 0.7761, 0.0017, 2.1923, 0.0068 
0.0920, 0.7723, 0.0012, 2.1819, 0.0052 
0.0920, 0.7740, 0.0012, 2.1868, 0.0052 
0.0925, 0.7738, 0.0011, 2.1864, 0.0049 
0.0936, 0.7697, 0.0011, 2.1752, 0.0050 
0.0943, 0.7728, 0.0011, 2.1841, 0.0048 
0.0944, 0.7703, 0.0011, 2.1770, 0.0048 
0.0946, 0.7677, 0.0012, 2.1697, 0.0052 
0.0949, 0.7677, 0.0017, 2.1699, 0.0067 
0.0963, 0.7661, 0.0011, 2.1656, 0.0049 
0.0963, 0.7657, 0.0013, 2.1644, 0.0051 
0.0964, 0.7675, 0.0011, 2.1697, 0.0049 
0.0964, 0.7669, 0.0011, 2.1679, 0.0050 
0.0970, 0.7657, 0.0011, 2.1647, 0.0051 
0.0974, 0.7646, 0.0012, 2.1615, 0.0052 
0.0982, 0.7617, 0.0011, 2.1537, 0.0048 
0.0990, 0.7612, 0.0017, 2.1524, 0.0068 
0.1000, 0.7591, 0.0012, 2.1469, 0.0052 
0.1001, 0.7586, 0.0011, 2.1454, 0.0048 
0.1005, 0.7581, 0.0011, 2.1441, 0.0051 
0.1018, 0.7562, 0.0013, 2.1391, 0.0051 
0.1021, 0.7547, 0.0011, 2.1350, 0.0048 
0.1027, 0.7531, 0.0011, 2.1306, 0.0051 
0.1033, 0.7480, 0.0015, 2.1162, 0.0061 
0.1039, 0.7519, 0.0011, 2.1274, 0.0051 
0.1039, 0.7527, 0.0011, 2.1299, 0.0049 
0.1039, 0.7521, 0.0011, 2.1280, 0.0049 
0.1054, 0.7486, 0.0011, 2.1185, 0.0051 
0.1059, 0.7484, 0.0011, 2.1182, 0.0048 
0.1073, 0.7445, 0.0013, 2.1075, 0.0049 
0.1074, 0.7423, 0.0011, 2.1013, 0.0050 
0.1076, 0.7390, 0.0016, 2.0920, 0.0066 
0.1078, 0.7446, 0.0011, 2.1079, 0.0048 
0.1082, 0.7430, 0.0011, 2.1035, 0.0051 
0.1097, 0.7407, 0.0011, 2.0973, 0.0048 
0.1100, 0.7408, 0.0011, 2.0976, 0.0050 
0.1110, 0.7365, 0.0011, 2.0857, 0.0050 
0.1110, 0.7377, 0.0010, 2.0891, 0.0047 
0.1110, 0.7356, 0.0011, 2.0831, 0.0050 
0.1117, 0.7367, 0.0011, 2.0864, 0.0048 
0.1120, 0.7338, 0.0016, 2.0784, 0.0066 
0.1128, 0.7378, 0.0013, 2.0898, 0.0047 
0.1128, 0.7341, 0.0013, 2.0796, 0.0049 
0.1137, 0.7322, 0.0011, 2.0743, 0.0048 
0.1137, 0.7345, 0.0011, 2.0808, 0.0048 
0.1137, 0.7322, 0.0010, 2.0744, 0.0048 
0.1146, 0.7311, 0.0011, 2.0715, 0.0050 
0.1156, 0.7289, 0.0011, 2.0654, 0.0049 
0.1161, 0.7294, 0.0013, 2.0672, 0.0048 
0.1163, 0.7242, 0.0016, 2.0523, 0.0065 
0.1175, 0.7244, 0.0011, 2.0532, 0.0048 
0.1181, 0.7266, 0.0013, 2.0595, 0.0047 
